Código;Fecha ingreso;Fecha vencimiento;Estado;Días hábiles;Prorroga
MU245T0001404;02-01-2026;13-02-2026;EN ANALISIS;30;Si
MU245T0001405;02-01-2026;30-01-2026;RESPUESTA ENTREGADA;8;No
MU245T0001406;05-01-2026;02-02-2026;RESPUESTA ENTREGADA;20;No
MU245T0001407;06-01-2026;03-02-2026;RESPUESTA ENTREGADA;6;No
MU245T0001408;06-01-2026;03-02-2026;RESPUESTA ENTREGADA;20;No
MU245T0001409;07-01-2026;04-02-2026;RESPUESTA ENTREGADA;20;No
MU245T0001410;08-01-2026;05-02-2026;RESPUESTA ENTREGADA;18;No
MU245T0001411;11-01-2026;09-02-2026;RESPUESTA ENTREGADA;20;No
MU245T0001412;12-01-2026;09-02-2026;RESPUESTA ENTREGADA;16;No
MU245T0001413;14-01-2026;11-02-2026;RESPUESTA ENTREGADA;15;No
MU245T0001414;19-01-2026;16-02-2026;EN ANALISIS;19;No
MU245T0001415;26-01-2026;23-02-2026;EN ANALISIS;14;No
MU245T0001416;26-01-2026;23-02-2026;EN ANALISIS;14;No
MU245T0001417;26-01-2026;23-02-2026;EN ANALISIS;14;No
MU245T0001418;26-01-2026;23-02-2026;RESPUESTA ENTREGADA;6;No
MU245T0001419;27-01-2026;24-02-2026;SOLICITUD DESISTIDA;0;No
MU245T0001420;28-01-2026;25-02-2026;EN ANALISIS;12;No
MU245T0001421;03-02-2026;03-03-2026;EN ANALISIS;8;No
MU245T0001422;04-02-2026;04-03-2026;EN ANALISIS;7;No
MU245T0001423;04-02-2026;04-03-2026;EN ANALISIS;7;No
MU245T0001424;07-02-2026;09-03-2026;EN ANALISIS;4;No
MU245T0001425;10-02-2026;10-03-2026;EN ANALISIS;3;No
MU245T0001426;11-02-2026;11-03-2026;RESPUESTA ENTREGADA;1;No
MU245T0001427;11-02-2026;11-03-2026;EN ANALISIS;2;No
MU245T0001428;12-02-2026;12-03-2026;INGRESO Y RECEPCIÓN;1;No
